,Date,Tow_number,Site,Project.Site.Name,Habitat,Distance_m,Distance_km_speed_duration_calc,Depth_m,Temp_C,Sal_ppt,num_ops_tau,num_hyp_hen,num_car_bar,num_opi_ogl,num_chi_sch,num_anc_spp,num_gerreidae,num_ort_chr,num_lut_chr,num_lut_gri,num_lut_syn,num_mon_his,num_par_alb,num_pom_sal,num_bai_chr,num_lei_xan,num_cen_str,num_myc_mic,num_arc_pro,num_dip_hol,num_lag_rho,num_sph_spp,num_syg_spp,num_syo_foe,num_sph_mac,num_das_ame,num_lip_spp,num_ach_spi,num_cal_sap,num_por_spp,num_toz_car,num_pal_spp,num_pen_azt,num_pen_spp,num_shrimp,num_aplysiidae
1,20190522,1,"Back sound, NC",C7,creek,139,0.1333,1,25.8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438848921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20190522,2,"Back sound, NC",C7,creek,144,0.1433,1,25.9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20190522,1,"Back sound, NC",SG12,seagrass,108,0.1067,0.4,24.6,36,0,0,0,0,0,0.925925926,0,6.481481481,0,0,0,0,0.925925926,0,0.925925926,0,0,0,0,1.851851852,168.5185185,0,0,0,0,0,0,0,2.777777778,0,0,0,0,0,0,0
4,20190522,2,"Back sound, NC",SG12,seagrass,118,0.1167,0.4,24.9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,0.847457627,76.27118644,0.847457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20190522,1,"Back sound, NC",SG10,seagrass,115,0.1133,0.5,25.4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20190522,2,"Back sound, NC",SG10,seagrass,118,0.1167,0.5,25.4,36,0,0,0,0,0,5.084745763,0,3.389830508,0,0,0,0.847457627,0.847457627,0,0,1.694915254,0,0,0,0,86.44067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20190522,1,"Back sound, NC",MF2,mudflat,126,0.1233,0.5,25.4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20190522,2,"Back sound, NC",MF2,mudflat,129,0.1167,0.5,25.4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.325581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20190625,1,"Back sound, NC",SG4,seagrass,152,0.1333,1,28.9,35,0,0,0,0,0,0,0,6.578947368,0,0,0,1.973684211,0.657894737,0,0,0,0,0,0,1.315789474,106.5789474,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0.657894737
10,20190625,2,"Back sound, NC",SG4,seagrass,209,0.1933,1,28.9,35,0.956937799,0.4784689,0.4784689,0,0,0.4784689,0,42.58373206,0,0,0,3.349282297,0,0,0,5.741626794,0,0,0,20.57416268,509.569378,4.784688995,0,0,0,0,0,0,0.4784689,0,0,0,0,0,0,0
11,20190625,1,"Back sound, NC",SG2,seagrass,157,0.15,1,29.4,35,0,0,0,0,0,0.636942675,0,22.92993631,0,0,0,3.821656051,3.184713376,0,4.458598726,0,0,0,0,5.732484076,437.5796178,1.27388535,0,0,0,0.636942675,0,0,3.821656051,0,0,0,0,0,0,0
12,20190625,2,"Back sound, NC",SG2,seagrass,109,0.1018,0.75,29.4,35,0,0,0,0,0,0,0,7.339449541,0,0,0,2.752293578,0,0,0,5.504587156,0,0,0,7.339449541,222.9357798,0,0,0,0,0,0,0,0.917431193,0,0,0,0,0,0,0
13,20190625,1,"Back sound, NC",C2,creek,147,0.1433,1,29.6,35,0,0,0,0,0,0,0,0,0,0,0,0.680272109,0,0,0,0,0,0,0,0.680272109,5.442176871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20190625,2,"Back sound, NC",C2,creek,150,0.1433,2,29.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20190625,1,"Back sound, NC",MF1,mudflat,143,0.14,1,28.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20190625,2,"Back sound, NC",MF1,mudflat,137,0.13,1.25,28.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20190710,1,"Core Sound, NC",CB,creek,129,0.1,0.5,27.5,36,0,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0,0.775193798,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20190710,2,"Core Sound, NC",CB,creek,126,0.1,0.8,28,36,0,0,0,0,0,1.587301587,3.174603175,0,0,0,0,0,0,0,0,1.587301587,0,0,0,0,6.349206349,0,0,0,0,0,0,0,0,0,0,0,6.349206349,0,0,0
19,20190710,1,"Core Sound, NC",SB,seagrass,129,0.1,0.5,27.5,36,0,0,0,0,0.775193798,0,1.550387597,59.68992248,0,0,0,0,0.775193798,0,1.550387597,0,0,0,3.100775194,0,94.57364341,0,1.550387597,0,0,0,0,0,0,0,0,0,0,0,0,0
